umdm,umam,type,base,ext,status,source
umd_321096,umd_321100,audio,scpa-020373-0005,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-020373-0005.wav
umd_321096,umd_321098,audio,scpa-020373-0002,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-020373-0002.wav
umd_321096,umd_321097,audio,scpa-020373-0001,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-020373-0001.wav
umd_321096,umd_321099,audio,scpa-020373-0003,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-020373-0003.wav
umd_321096,umd_321101,audio,scpa-020373-0006,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-020373-0006.wav
umd_321102,umd_321104,audio,scpa-020145-0002,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-020145-0002.wav
umd_321102,umd_321103,audio,scpa-020145-0001,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-020145-0001.wav
umd_321105,umd_321107,audio,scpa-020857-0002,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-020857-0002.wav
umd_321105,umd_321106,audio,scpa-020857-0001,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-020857-0001.wav
umd_321108,umd_321111,audio,scpa-020406-0003,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-020406-0003.wav
umd_321108,umd_321110,audio,scpa-020406-0002,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-020406-0002.wav
umd_321108,umd_321109,audio,scpa-020406-0001,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-020406-0001.wav
umd_321112,umd_321113,audio,scpa-020858-0001,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-020858-0001.wav
umd_321114,umd_321115,audio,scpa-020985-0001,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-020985-0001.wav
umd_321114,umd_321116,audio,scpa-020985-0002,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-020985-0002.wav
umd_321117,umd_321118,audio,scpa-019386-0001,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-019386-0001.wav
umd_321117,umd_321119,audio,scpa-019386-0002,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-019386-0002.wav
umd_321120,umd_321121,audio,scpa-019601-0001,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-019601-0001.wav
umd_321120,umd_321122,audio,scpa-019601-0002,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-019601-0002.wav
umd_321123,umd_321124,audio,scpa-020856-0001,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-020856-0001.wav
umd_321125,umd_321126,audio,scpa-019545-0001,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-019545-0001.wav
umd_321125,umd_321127,audio,scpa-019545-0002,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-019545-0002.wav
umd_321125,umd_321128,audio,scpa-019545-0003,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-019545-0003.wav
umd_321129,umd_321132,audio,scpa-019962-0003,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-019962-0003.wav
umd_321129,umd_321131,audio,scpa-019962-0002,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-019962-0002.wav
