pid,displayTitle,hasPart,dmDate,isMemberOfCollection,identifier,dpExtRef,restore_id,restore_md5,restore_filename,restore_filepath,restore_bytes,file_extension
umd:80048,"Football: University of Maryland (10) vs. Clemson University (14), fourth quarter, November 12, 1966",umd:89997,1966-11-12T05:00:00Z,umd:3391,19661112-fb-004-4qtr,http://streamer.lib.umd.edu/ssdcms/i.do?u=36b5de7aef0f45c,180,b05dce2b87af56fd33fbbe1537625dad,19661112-FB-004-4Qtr.mpg,/libr/archives/footballfilmsexport/FootballFilmMpeg2_07272011/2010-11-29/MasterQC'd/19661112-FB-004-4Qtr.mpg,1667526660,mpg
umd:80046,"Football: University of Maryland (10) vs. Clemson University (14), second quarter, November 12, 1966",umd:89995,1966-11-12T05:00:00Z,umd:3391,19661112-fb-002-2qtr,http://streamer.lib.umd.edu/ssdcms/i.do?u=61c07b25f9c548b,204,964edc196e9263f33ea4874c0687e2b0,19661112-FB-002-2Qtr.mpg,/libr/archives/footballfilmsexport/FootballFilmMpeg2_07272011/2010-11-29/MasterQC'd/19661112-FB-002-2Qtr.mpg,1612455940,mpg
umd:80047,"Football: University of Maryland (10) vs. Clemson University (14), third quarter, November 12, 1966",umd:89996,1966-11-12T05:00:00Z,umd:3391,19661112-fb-003-3qtr,http://streamer.lib.umd.edu/ssdcms/i.do?u=65a0ed766fc24c4,278,631234c6255aceab1f4b00a1cc6c537f,19661112-FB-003-3Qtr.mpg,/libr/archives/footballfilmsexport/FootballFilmMpeg2_07272011/2010-11-29/MasterQC'd/19661112-FB-003-3Qtr.mpg,1421355012,mpg
umd:80045,"Football: University of Maryland (10) vs. Clemson University (14), first quarter, November 12, 1966",umd:89994,1966-11-12T05:00:00Z,umd:3391,19661112-fb-001-1qtr,http://streamer.lib.umd.edu/ssdcms/i.do?u=089c64a34aa94f0,301,ccc50ce8a6ff34745b3d4455a487b758,19661112-FB-001-1Qtr.mpg,/libr/archives/footballfilmsexport/FootballFilmMpeg2_07272011/2010-11-29/MasterQC'd/19661112-FB-001-1Qtr.mpg,2391566340,mpg
umd:80067,"Football: University of Maryland (30) vs. Duke University (10), first half, defense, October 27, 1973",umd:90010,1973-10-27T05:00:00Z,umd:3391,19731027-FB-001-1Half,http://streamer.lib.umd.edu/ssdcms/i.do?u=e09be4d6208b43d,95,ba340b6b25d56041deae6063c896ba1c,19731027-FB-001-1Half.mpg,/libr/archives/footballfilmsexport/FootballFilmMpeg2_07272011/2010-11-29/MasterQC'd/19731027-FB-001-1Half.mpg,1941043204,mpg
umd:80069,"Football: University of Maryland (30) vs. Duke University (10), second half, defense, October 27, 1973",umd:90011,1973-10-27T05:00:00Z,umd:3391,19731027-FB-002-2Half,http://streamer.lib.umd.edu/ssdcms/i.do?u=1717ddb9e412470,207,2f1592099bf417f40105f09529fc9f99,19731027-FB-002-2Half.mpg,/libr/archives/footballfilmsexport/FootballFilmMpeg2_07272011/2010-11-29/MasterQC'd/19731027-FB-002-2Half.mpg,1818722308,mpg
umd:80051,"Football: University of Maryland (0) vs. Clemson University (16), second quarter, November 9, 1968",umd:90000,1968-11-09T05:00:00Z,umd:3391,19681109-fb-002-2qtr,http://streamer.lib.umd.edu/ssdcms/i.do?u=6f2fbf2aa6d0494,114,9e1bfe56c4a75200f1b4dbe8f857f4d3,19681109-FB-002-2Qtr.mpg,/libr/archives/footballfilmsexport/FootballFilmMpeg2_07272011/2010-11-29/MasterQC'd/19681109-FB-002-2Qtr.mpg,1955289092,mpg
umd:80049,"Football: University of Maryland (0) vs. Clemson University (16), fourth quarter, November 9, 1968",umd:89998,1968-11-09T05:00:00Z,umd:3391,19681109-fb-004-4qtr,http://streamer.lib.umd.edu/ssdcms/i.do?u=1396b0041b20465,140,109a68c741877278ce9a1203582a51d1,19681109-FB-004-4Qtr.mpg,/libr/archives/footballfilmsexport/FootballFilmMpeg2_07272011/2010-11-29/MasterQC'd/19681109-FB-004-4Qtr.mpg,1959884804,mpg
umd:80052,"Football: University of Maryland (0) vs. Clemson University (16), third quarter, November 9, 1968",umd:90001,1968-11-09T05:00:00Z,umd:3391,19681109-fb-003-3qtr,http://streamer.lib.umd.edu/ssdcms/i.do?u=4b8e047667b6447,144,c3dadd6710e68b6f15dc14064617ce83,19681109-FB-003-3Qtr.mpg,/libr/archives/footballfilmsexport/FootballFilmMpeg2_07272011/2010-11-29/MasterQC'd/19681109-FB-003-3Qtr.mpg,1934071812,mpg
umd:80050,"Football: University of Maryland (0) vs. Clemson University (16), first quarter, November 9, 1968",umd:89999,1968-11-09T05:00:00Z,umd:3391,19681109-fb-001-1qtr,http://streamer.lib.umd.edu/ssdcms/i.do?u=38adb7835e4f4f1,84,0f75a875399fcf76d3a598b9a655c72a,19681109-FB-001-1Qtr.mpg,/libr/archives/footballfilmsexport/FootballFilmMpeg2_07272011/2010-11-29/MasterQC'd/19681109-FB-001-1Qtr.mpg,1829828612,mpg
